Area,Latitude,Longitude,Date,Temperature_C
Dubai,25.2048,55.2708,2024-01-01,24.16
Dubai,25.2048,55.2708,2024-01-02,23.41
Dubai,25.2048,55.2708,2024-01-03,22.7
Dubai,25.2048,55.2708,2024-01-04,22.53
Dubai,25.2048,55.2708,2024-01-05,22.15
Dubai,25.2048,55.2708,2024-01-06,21.97
Dubai,25.2048,55.2708,2024-01-07,21.65
Dubai,25.2048,55.2708,2024-01-08,22.15
Dubai,25.2048,55.2708,2024-01-09,21.91
Dubai,25.2048,55.2708,2024-01-10,20.93
Dubai,25.2048,55.2708,2024-01-11,20.64
Dubai,25.2048,55.2708,2024-01-12,20.68
Dubai,25.2048,55.2708,2024-01-13,21.73
Dubai,25.2048,55.2708,2024-01-14,22.48
Dubai,25.2048,55.2708,2024-01-15,22.96
Dubai,25.2048,55.2708,2024-01-16,23.1
Dubai,25.2048,55.2708,2024-01-17,23.14
Dubai,25.2048,55.2708,2024-01-18,21.67
Dubai,25.2048,55.2708,2024-01-19,21.98
Dubai,25.2048,55.2708,2024-01-20,21.41
Dubai,25.2048,55.2708,2024-01-21,21.39
Dubai,25.2048,55.2708,2024-01-22,21.81
Dubai,25.2048,55.2708,2024-01-23,22.0
Dubai,25.2048,55.2708,2024-01-24,21.02
Dubai,25.2048,55.2708,2024-01-25,21.75
Dubai,25.2048,55.2708,2024-01-26,23.2
Dubai,25.2048,55.2708,2024-01-27,23.26
Dubai,25.2048,55.2708,2024-01-28,22.87
Dubai,25.2048,55.2708,2024-01-29,21.67
Dubai,25.2048,55.2708,2024-01-30,22.7
Dubai,25.2048,55.2708,2024-01-31,23.99
Dubai,25.2048,55.2708,2024-02-01,25.44
Dubai,25.2048,55.2708,2024-02-02,23.15
Dubai,25.2048,55.2708,2024-02-03,20.18
Dubai,25.2048,55.2708,2024-02-04,19.8
Dubai,25.2048,55.2708,2024-02-05,20.5
Dubai,25.2048,55.2708,2024-02-06,20.78
Dubai,25.2048,55.2708,2024-02-07,20.08
Dubai,25.2048,55.2708,2024-02-08,19.88
Dubai,25.2048,55.2708,2024-02-09,19.62
Dubai,25.2048,55.2708,2024-02-10,20.09
Dubai,25.2048,55.2708,2024-02-11,20.18
Dubai,25.2048,55.2708,2024-02-12,20.18
Dubai,25.2048,55.2708,2024-02-13,21.31
Dubai,25.2048,55.2708,2024-02-14,22.54
Dubai,25.2048,55.2708,2024-02-15,22.96
Dubai,25.2048,55.2708,2024-02-16,23.74
Dubai,25.2048,55.2708,2024-02-17,24.45
Dubai,25.2048,55.2708,2024-02-18,22.26
Dubai,25.2048,55.2708,2024-02-19,20.54
Dubai,25.2048,55.2708,2024-02-20,21.0
Dubai,25.2048,55.2708,2024-02-21,21.12
Dubai,25.2048,55.2708,2024-02-22,20.86
Dubai,25.2048,55.2708,2024-02-23,21.07
Dubai,25.2048,55.2708,2024-02-24,21.58
Dubai,25.2048,55.2708,2024-02-25,23.39
Dubai,25.2048,55.2708,2024-02-26,21.46
Dubai,25.2048,55.2708,2024-02-27,20.64
Dubai,25.2048,55.2708,2024-02-28,20.6
Dubai,25.2048,55.2708,2024-02-29,21.08
Dubai,25.2048,55.2708,2024-03-01,19.0
Dubai,25.2048,55.2708,2024-03-02,19.62
Dubai,25.2048,55.2708,2024-03-03,19.75
Dubai,25.2048,55.2708,2024-03-04,21.48
Dubai,25.2048,55.2708,2024-03-05,22.32
Dubai,25.2048,55.2708,2024-03-06,21.22
Dubai,25.2048,55.2708,2024-03-07,21.78
Dubai,25.2048,55.2708,2024-03-08,24.01
Dubai,25.2048,55.2708,2024-03-09,21.31
Dubai,25.2048,55.2708,2024-03-10,21.48
Dubai,25.2048,55.2708,2024-03-11,22.44
Dubai,25.2048,55.2708,2024-03-12,22.4
Dubai,25.2048,55.2708,2024-03-13,22.4
Dubai,25.2048,55.2708,2024-03-14,22.97
Dubai,25.2048,55.2708,2024-03-15,23.73
Dubai,25.2048,55.2708,2024-03-16,25.17
Dubai,25.2048,55.2708,2024-03-17,26.05
Dubai,25.2048,55.2708,2024-03-18,25.04
Dubai,25.2048,55.2708,2024-03-19,25.88
Dubai,25.2048,55.2708,2024-03-20,25.41
Dubai,25.2048,55.2708,2024-03-21,23.95
Dubai,25.2048,55.2708,2024-03-22,23.9
Dubai,25.2048,55.2708,2024-03-23,25.92
Dubai,25.2048,55.2708,2024-03-24,26.62
Dubai,25.2048,55.2708,2024-03-25,26.47
Dubai,25.2048,55.2708,2024-03-26,23.38
Dubai,25.2048,55.2708,2024-03-27,21.83
Dubai,25.2048,55.2708,2024-03-28,22.4
Dubai,25.2048,55.2708,2024-03-29,22.68
Dubai,25.2048,55.2708,2024-03-30,22.8
Dubai,25.2048,55.2708,2024-03-31,23.31
Dubai,25.2048,55.2708,2024-04-01,23.24
Dubai,25.2048,55.2708,2024-04-02,23.52
Dubai,25.2048,55.2708,2024-04-03,24.31
Dubai,25.2048,55.2708,2024-04-04,23.94
Dubai,25.2048,55.2708,2024-04-05,23.78
Dubai,25.2048,55.2708,2024-04-06,23.91
Dubai,25.2048,55.2708,2024-04-07,25.03
Dubai,25.2048,55.2708,2024-04-08,26.46
Dubai,25.2048,55.2708,2024-04-09,26.83
Dubai,25.2048,55.2708,2024-04-10,26.15
Dubai,25.2048,55.2708,2024-04-11,26.86
Dubai,25.2048,55.2708,2024-04-12,26.96
Dubai,25.2048,55.2708,2024-04-13,26.73
Dubai,25.2048,55.2708,2024-04-14,26.18
Dubai,25.2048,55.2708,2024-04-15,27.17
Dubai,25.2048,55.2708,2024-04-16,25.38
Dubai,25.2048,55.2708,2024-04-17,24.44
Dubai,25.2048,55.2708,2024-04-18,25.15
Dubai,25.2048,55.2708,2024-04-19,25.19
Dubai,25.2048,55.2708,2024-04-20,24.92
Dubai,25.2048,55.2708,2024-04-21,25.76
Dubai,25.2048,55.2708,2024-04-22,28.05
Dubai,25.2048,55.2708,2024-04-23,28.06
Dubai,25.2048,55.2708,2024-04-24,26.42
Dubai,25.2048,55.2708,2024-04-25,26.91
Dubai,25.2048,55.2708,2024-04-26,26.47
Dubai,25.2048,55.2708,2024-04-27,27.57
Dubai,25.2048,55.2708,2024-04-28,28.86
Dubai,25.2048,55.2708,2024-04-29,29.3
Dubai,25.2048,55.2708,2024-04-30,29.57
Dubai,25.2048,55.2708,2024-05-01,29.84
Dubai,25.2048,55.2708,2024-05-02,26.02
Dubai,25.2048,55.2708,2024-05-03,26.93
Dubai,25.2048,55.2708,2024-05-04,29.37
Dubai,25.2048,55.2708,2024-05-05,29.26
Dubai,25.2048,55.2708,2024-05-06,29.52
Dubai,25.2048,55.2708,2024-05-07,31.22
Dubai,25.2048,55.2708,2024-05-08,30.9
Dubai,25.2048,55.2708,2024-05-09,29.58
